label,name,status,completed,requested,success_rate,mean_ate_rmse_se3_m,checkpoint,source
dual_gray_dce_trained_official,历史 official clean-room,trained_cleanroom_gray_dce_euroc_summary,11,11,1.0,0.18977987034808774,checkpoints/gray_dce_cleanroom/gray_official_mirror/best_val.pth,/mnt/d/大论文实验/IR-VIO的复现/results/dual_gray_dce_trained_official_11seq_summary.json
dual_gray_dce_trained_paper,历史 paper clean-room,trained_cleanroom_gray_dce_euroc_summary,11,11,1.0,0.20098064485835862,checkpoints/gray_dce_cleanroom/gray_paper_mirror/best_val.pth,/mnt/d/大论文实验/IR-VIO的复现/results/dual_gray_dce_trained_paper_11seq_summary.json
dual_gray_dce_reference_official_11seq_tracking,新 reference/official（low1 镜像）,trained_cleanroom_gray_dce_euroc_summary,11,11,1.0,0.1959554685381641,checkpoints/gray_dce_cleanroom_v2/gray_reference_official_mirror_resize256/best_val.pth,/mnt/d/大论文实验/IR-VIO的复现/results/dual_gray_dce_reference_official_11seq_tracking_summary.json
dual_gray_dce_reference_paper_11seq_tracking,新 reference/paper（low1 镜像，部分回放）,partial,5,11,0.45454545454545453,0.24898374860306166,checkpoints/gray_dce_cleanroom_v2/gray_reference_paper_mirror_resize256/best_val.pth,/mnt/d/大论文实验/IR-VIO的复现/results/dual_gray_dce_reference_paper_11seq_tracking_summary.json
