"sequence","adaptive_delta_alpha","replay_speed","run_label","estimate_poses","matched_poses","time_coverage","ate_rmse_se3_m","ate_rmse_sim3_m","sim3_scale","baseline_ate_rmse_se3_m","weighting_ate_rmse_se3_m","vs_baseline_reduction_percent","vs_weighting_reduction_percent","pipeline_success","metric_pass_ate_lt_1m"
"V1_03_difficult","2","1","v1_03_alpha_sensitivity_20260911_a2","1003","994","0.932960895541386","0.199084863188502","0.196779890204955","0.981015515521291","0.2505984771","0.280472829","20.5562358189996","29.0181284588882","True","True"
"V1_03_difficult","4","1","v1_03_alpha_sensitivity_20260911_a4","1003","994","0.932960895541386","0.197663214557244","0.195456202350038","0.981481028968673","0.2505984771","0.280472829","21.1235372039523","29.5250041645768","True","True"
"V1_03_difficult","8","1","v1_03_alpha_sensitivity_20260911_a8","997","987","0.927374302023226","0.182272289372739","0.181386821223127","0.988646541145892","0.2505984771","0.280472829","27.2652046883732","35.0124965678087","True","True"
