sequence,canonical_ate_rmse_se3_m,repeat_ate_rmse_se3_m,absolute_ate_difference_m,repeat_vs_canonical_difference_percent,canonical_matched_poses,repeat_matched_poses,canonical_time_coverage,repeat_time_coverage,repeat_pipeline_success
V1_01_easy,0.053298746046639374,0.05330055349458903,1.807447949656038e-06,0.0033911641149576397,1391,1391,0.961868773932432,0.961868773932432,True
V1_03_difficult,0.1976632514454714,0.18115371654897075,-0.016509534896500644,-8.35235420634324,994,993,0.9329608955413858,0.9329608955413858,True
V2_03_difficult,0.22472647947318083,0.22472328430180502,-3.195171375813821e-06,-0.0014218045791951888,1088,1088,0.9374732298565662,0.9374732298565662,True
